Time (s),Sensor Value
14.217843568713743,16.0
14.222844568913784,16.75
14.227845569113823,16.75
14.232846569313864,16.75
14.237847569513903,16.75
14.242848569713944,12.5
14.247849569913983,12.5
14.252850570114024,12.5
14.257851570314063,12.5
14.262852570514104,17.25
14.267853570714143,17.25
14.272854570914184,17.25
14.277855571114223,17.25
14.282856571314264,15.75
14.287857571514303,15.75
14.292858571714344,15.75
14.297859571914383,15.75
14.302860572114424,18.5
14.307861572314463,18.5
14.312862572514504,18.5
14.317863572714543,18.5
14.322864572914584,10.0
14.327865573114623,10.0
14.332866573314664,10.0
14.337867573514703,10.0
14.342868573714744,10.75
14.347869573914783,10.75
14.352870574114824,10.75
14.357871574314863,10.75
14.362872574514904,16.5
14.367873574714944,16.5
14.372874574914984,16.5
14.377875575115024,16.5
14.382876575315064,20.25
14.387877575515104,20.25
14.392878575715145,20.25
14.397879575915184,20.25
14.402880576115225,12.0
14.407881576315264,12.0
14.412882576515305,12.0
14.417883576715344,12.0
14.422884576915385,14.75
14.427885577115424,14.75
14.432886577315463,14.75
14.437887577515504,14.75
14.442888577715543,16.25
14.447889577915584,16.25
14.452890578115623,16.25
14.457891578315664,16.25
14.462892578515703,15.25
14.467893578715744,21.5
14.472894578915783,21.5
14.477895579115824,21.5
14.482896579315863,20.75
14.487897579515904,14.5
14.492898579715943,14.5
14.497899579915984,14.5
14.502900580116023,12.0
14.507901580316064,12.0
14.512902580516103,12.0
14.517903580716144,12.0
14.522904580916183,15.5
14.527905581116224,15.5
14.532906581316263,15.5
14.537907581516304,15.5
14.542908581716343,14.25
14.547909581916384,14.25
14.552910582116423,14.25
14.557911582316464,14.25
14.562912582516503,13.75
14.567913582716544,13.75
14.572914582916583,13.75
14.577915583116624,13.75
14.582916583316663,13.75
14.587917583516704,13.75
14.592918583716743,13.75
14.597919583916784,13.75
14.602920584116823,12.5
14.607921584316864,12.5
14.612922584516904,12.5
14.617923584716944,12.5
14.622924584916984,12.75
14.627925585117024,12.75
14.632926585317064,12.75
14.637927585517104,12.75
14.642928585717144,12.0
14.647929585917185,12.0
14.652930586117224,12.0
14.657931586317265,12.0
14.662932586517304,12.0
14.667933586717345,12.0
14.672934586917384,12.0
14.677935587117425,12.0
14.682936587317464,13.25
14.687937587517505,13.25
14.692938587717544,13.25
14.697939587917585,13.25
14.702940588117624,13.75
14.707941588317665,13.75
